1	Molière	Auteur
2	Guillaume de Luyne	Libraire
3	Claude Barbin	Libraire
4	Charles de Sercy	Libraire
5	Jean Hénault	Imprimeur
6	François Noël	Imprimeur
7	Christophe Journel	Imprimeur
8	Sieur de Neuf-Villenaine	Libraire
9	Jean Ribou	Libraire
10	Jean Guignard	Libraire
12	Gabriel Quinet	Libraire
13	François II Noël	Imprimeur
14	Thomas Jolly	Libraire
15	Louis Billaine	Libraire
16	Estienne Loyson	Libraire
17	Claude Blageart	Imprimeur
18	Pierre Trabouillet	Libraire
19	Nicolas Le Gras	Libraire
20	Théodore Girard	Libraire
21	Etienne Maucroy	Imprimeur
22	Claude II Calleville	Imprimeur
23	Claude Audinet	Imprimeur
24	Pierre Le Monnier	Libraire
25	Pierre Corneille	Auteur
26	Philippe Quinault	Auteur
27	Pierre Promé	Libraire
28	François Muguet	Imprimeur
