id	Lat	Long	Commune	Canton
989	46.21	7.58	Vissoye	Valais
988	46.112766	7.495914	Evolène	Valais
979	46.266766	7.433281	Lens	Valais
978	46.183334	7.283	Nendaz	Valais
977	46.079944	7.212833	Le Châble	Valais
976	45.952072	7.207921	Bourg-Saint-Pierre	Valais
969	46.423512	7.146649	Letivaz	Vaud
968	46.147694	7.042899	Saint-Maurice	Valais
959	46.46273	6.842431	Vevey	Vaud
939	46.581879	6.21161	Le Brassus	Vaud
937	46.410351	6.176402	Gingins	Vaud
936	46.176174	6.071877	Bernex	Genève
74	47.457527	7.096525	Coeuve	Jura
73	47.333588	7.366848	Courrendlin	Jura
72	47.304726	7.113476	Saint-Brais	Jura
71	47.200211	7.250633	Péry	Berne
70	46.585175	7.077341	Gruyères	Fribourg
64	47.184788	6.921732	Les Bois	Jura
63	47.059017	7.047371	Le Landeron	Neuchâtel
62	46.820385	7.105408	Belfaux	Fribourg
61	46.848743	6.846542	Estavayer	Fribourg
60	46.68803	6.89575	Billens	Fribourg
52	46.998489	6.731602	Les Ponts-de-Martel	Neuchâtel
51	46.808285	6.549053	Vuitteboeuf	Vaud
50	46.640835	6.635485	Echallens	Vaud
40	46.6667	6.3167	Le Pont	Vaud
